population,horizon_months,n,base_rate,roc_auc,pr_auc,brier,brier_baseline,ece,lift_at_k,recall_at_k,top_frac,precision_at_k,ceiling_auc,signal_captured
hourly,3,28600,0.1702,0.6669,0.277,0.1341,0.1413,0.0087,2.0641,0.2064,0.1,0.3514,0.6685,0.991
hourly,6,21460,0.2893,0.658,0.4293,0.1926,0.2056,0.0222,1.8022,0.1802,0.1,0.5214,0.663,0.969
hourly,12,7119,0.4503,0.6528,0.5933,0.2319,0.2475,0.0448,1.603,0.1603,0.1,0.7219,0.6659,0.921
salaried,6,2230,0.113,0.6321,0.1669,0.0988,0.1002,0.0375,1.8651,0.1865,0.1,0.2108,0.6912,0.691
salaried,12,744,0.2056,0.6547,0.3421,0.1557,0.1634,0.0646,2.399,0.2418,0.1,0.4933,0.6644,0.941
